Vin [mV],		Vout [mV],		sfasamento [gradi],		frequenza [Hz]
950,		30,		-69,		500
950,		60,		-74,		1000
950,		120,		-77,		2000
950,		190,		-75,		3000
950,		270,		-70,		4000
960,		360,		-66,		5000
960,		470,		-58,		6000
970,		610,		-48,		7000
970,		690,		-42,		7500
980,		770,		-35,		8000
980,		810,		-32,		8250
980,		840,		-27,		8500
990,		880,		-23,		8750
990,		910,		-19,		9000
990,		930,		-15,		9250
990,		950,		-10,		9500
990,		970,		-5,		9750
1000,		970,		-1,		10000
1000,		970,		4,		10250
990,		970,		8,		10500
990,		950,		11,		10750
990,		930,		16,		11000
990,		910,		19,		11250
990,		890,		23,		11500
980,		870,		27,		11750
980,		850,		30,		12000
980,		800,		35,		12500
970,		750,		39,		13000
970,		660,		48,		14000
970,		590,		53,		15000
960,		530,		57,		16000
960,		480,		60,		17000
960,		440,		63,		18000
960,		400,		65,		19000
950,		380,		68,		20000
950,		330,		71,		22000
950,		280,		74,		25000
950,		220,		78,		30000
950,		190,		80,		35000
950,		170,		81,		40000
950,		130,		85,		50000
950,		110,		86,		60000
950,		90,		90,		70000
