V_in [mV],		V_out [mV],		sfasamento [gradi],		frequenza [Hz]
990,		990,		3.5,		50
990,		990,		8,		100
990,		980,		11.1,		150
990,		960,		15,		200
990,		950,		17.5,		250
990,		930,		21,		300
990,		910,		23.8,		350
990,		880,		26,		400
980,		860,		30.1,		450
980,		830,		32,		500
980,		810,		35,		550
980,		780,		37,		600
980,		760,		39,		650
970,		730,		41.1,		700
970,		710,		43,		750
970,		680,		45.3,		800
970,		640,		49,		900
970,		600,		52,		1000
960,		570,		54,		1100
960,		530,		57,		1200
960,		500,		59,		1300
960,		470,		61,		1400
960,		450,		62,		1500
960,		430,		64,		1600
960,		410,		65,		1700
960,		390,		66,		1800
950,		370,		67,		1900
950,		350,		69,		2000
950,		340,		70,		2100
950,		320,		71,		2200
950,		310,		71,		2300
950,		300,		72,		2400
950,		290,		73,		2500
950,		280,		74,		2600
950,		270,		75,		2700
950,		260,		75,		2800
950,		250,		75,		2900
950,		240,		76,		3000
950,		240,		77,		3100
950,		230,		77,		3200
950,		190,		79,		4000
950,		150,		81,		5000
950,		120,		84,		6000
950,		110,		85,		7000
950,		90,		87,		9000
950,		60,		88,		13000
950,		50,		89,		15000
950,		40,		90,		18000
