Vin [mV],		Vout [mV],		sfasamento [gradi],		frequenza [Hz]
995,		991,		5,		500
990,		980,		10,		1000
990,		940,		18,		2000
980,		870,		28,		3000
980,		780,		37,		4000
971,		723,		42,		4500
970,		670,		46,		5000
964,		604,		51,		5500
960,		540,		55,		6000
958,		471,		59.9,		6500
960,		400,		64,		7000
950,		330,		68,		7500
950,		270,		73,		8000
950,		200,		76,		8500
950,		140,		79,		9000
947,		103,		79,		9250
950,		70,		80,		9500
947,		42.6,		75,		9750
947,		15.8,		48,		10000
947,		22.2,		-60,		10250
947,		48.5,		-74,		10500
947,		75,		-76,		10750
948,		102.7,		-78,		11000
948,		153,		-76,		11500
949,		201,		-74,		12000
950,		247,		-72,		12500
951,		288,		-69,		13000
951,		392,		-67,		13500
953,		367,		-66,		14000
956,		435,		-62,		15000
958,		493,		-58,		16000
961,		544,		-54,		17000
963,		589,		-51,		18000
965,		629,		-48,		19000
967,		664,		-46,		20000
970,		731,		-40,		22500
974,		782,		-36,		25000
980,		850,		-29,		30000
983,		893,		-24,		35000
985,		922,		-21,		40000
988,		955,		-15,		50000
990,		972,		-11,		60000
991,		976,		-9,		70000
991,		986,		-6,		80000
991,		988,		-4,		90000
992,		990,		-2,		100000
991,		990,		0,		110000
991,		985,		5,		150000
989,		968,		10,		200000
987,		948,		14,		250000
985,		925,		19,		300000
983,		895,		23,		350000
980,		867,		26,		400000
975,		812,		31,		500000
969,		712,		40,		700000
958,		570,		49,		1000000
948,		420,		58,		1500000
937,		329,		63,		2000000
915,		230,		65,		3000000
885,		175,		65,		4000000
857,		142,		63,		5000000
710,		82,		55,		10000000
603,		75,		57,		15000000
