Freqenza [Hz],      Vpp [mV],       Sfasamento [gradi]
50,                 2420,           -84
66,                 2420,           -83
83,                 2410,           -80
105,                2390,           -78
130,                2370,           -75
170,                2330,           -71
210,                2280,           -67
270,                2180,           -62
350,                2040,           -55
440,                1880,           -48
550,                1680,           -40
700,                1430,           -31
890,                1180,           -22
1100,               970,            -14
1400,               830,            -5
1800,               830,            5
2300,               970,            14
2900,               1190,           23
3700,               1440,           32
4600,               1650,            40
5900,               1850,           48
7400,               1990,           55
9400,               2110,           62
12000,              2180,           67
15000,              2240,           71
19000,              2280,           74
24000,              2280,           78
31000,              2290,           79
39000,              2300,           82
49000,              2310,           84
62000,              2310,           85
79000,              2310,           88
100000,             2310,           90
