I (mA),		V (V),		dI (mA)       
0,		    -0.5,		0.001       
0,		    -1,	    	0.001       
0,		    -5, 		0.001       
0.01,		0.5,		0.001       
0.025,		1,  		0.001       
0.086,		2,  		0.001       
3.06,		5,  		0.01       
98,	    	7,  		1       
17.72,		6,  		0.01       
0.82,		4,  		0.005       
0.265,		3,  		0.001       
1.52,		4.5,		0.01       
7.06,		5.5,		0.01       
43.8,		6.5,		0.1       
62,	    	6.7,		1       
73,	    	6.8,		1       
25.97,		6.2,		0.1       
12.41,		5.8,		0.1       
0,	    	-10,		0.001       
-0.121,		-20,		0.001       
-0.23,		-30,		0.01       
-0.38,		-40,		0.01       
-0.57,		-50,		0.01       
        
        
        
        
