I (mA),		V (V),		dI (mA)
-16.8,		-2,		0.1		
-16.8,		-4,		0.1
-17.1,		-10,		0.1
-17.7,		-20,		0.1
-18.2,		-30,		0.1
-18.6,		-40,		0.1
-19,		-50,		0.1
-16.8,		0.5,		0.1
-16.7,		1,		0.1
-16.5,		2,		0.1
-13.2,		5,		0.1
7.7,		6,		0.1
26.6,		6.3,		0.1
44.4,		6.5,		0.1
55.2,		6.6,		0.1
67.3,		6.7,		0.1
82,		6.8,		1
-16.2,		4,		0.1
-16.4,		3,		0.1
-6.6,		5.5,		0.1
-15.3,		4.5,		0.1
-11.1,		5.2,		0.1
-2,		5.7,		0.1
1,		5.8,		0.1
0.1,		5.77,		0.1
21,		6.2,		0.1
14.7,		6.1,		0.1
36.7,		6.4,		0.1
4.9,		5.9,		0.1
-4.6,		5.6,		0.1
-10,		5.3,		0.1
-14.1,		4.8,		0.1
